type,contract_ym,deal_count,amount_median
비수도권,2021-01,29998,178000000.0
수도권,2021-01,29502,397000000.0
비수도권,2021-02,26525,170000000.0
수도권,2021-02,23654,360000000.0
비수도권,2021-03,34161,169000000.0
수도권,2021-03,25305,339000000.0
비수도권,2021-04,30747,167000000.0
수도권,2021-04,21106,350000000.0
비수도권,2021-05,32504,177000000.0
수도권,2021-05,24132,410000000.0
비수도권,2021-06,30647,172000000.0
수도권,2021-06,20184,449000000.0
비수도권,2021-07,32860,170000000.0
수도권,2021-07,22993,515000000.0
비수도권,2021-08,33077,180000000.0
수도권,2021-08,20545,500000000.0
비수도권,2021-09,27979,185000000.0
수도권,2021-09,14751,500000000.0
비수도권,2021-10,29342,180000000.0
수도권,2021-10,11837,468000000.0
비수도권,2021-11,21334,178000000.0
수도권,2021-11,7290,430000000.0
비수도권,2021-12,18090,174000000.0
수도권,2021-12,6143,428000000.0
비수도권,2022-01,16192,173000000.0
수도권,2022-01,5317,427000000.0
비수도권,2022-02,17794,167000000.0
수도권,2022-02,5540,380000000.0
비수도권,2022-03,21730,165000000.0
수도권,2022-03,8486,400925000.0
비수도권,2022-04,24218,170000000.0
수도권,2022-04,9805,420000000.0
비수도권,2022-05,21729,163000000.0
수도권,2022-05,8793,410000000.0
비수도권,2022-06,16301,164000000.0
수도권,2022-06,6079,385000000.0
비수도권,2022-07,13251,162000000.0
수도권,2022-07,4240,370000000.0
비수도권,2022-08,12428,160000000.0
수도권,2022-08,4369,362000000.0
비수도권,2022-09,11638,164000000.0
수도권,2022-09,3955,360000000.0
비수도권,2022-10,12307,170000000.0
수도권,2022-10,4071,380000000.0
비수도권,2022-11,10599,175000000.0
수도권,2022-11,4670,395660000.0
비수도권,2022-12,9890,190000000.0
수도권,2022-12,5020,400000000.0
비수도권,2023-01,11747,215000000.0
수도권,2023-01,7486,450000000.0
비수도권,2023-02,18527,230000000.0
수도권,2023-02,13317,472000000.0
비수도권,2023-03,20522,217000000.0
수도권,2023-03,14641,458000000.0
비수도권,2023-04,19227,222000000.0
수도권,2023-04,14598,480000000.0
비수도권,2023-05,21188,209350000.0
수도권,2023-05,15818,492000000.0
비수도권,2023-06,19928,232000000.0
수도권,2023-06,15861,500000000.0
비수도권,2023-07,19129,234000000.0
수도권,2023-07,15215,500000000.0
비수도권,2023-08,20613,230000000.0
수도권,2023-08,16211,495000000.0
비수도권,2023-09,19469,234000000.0
수도권,2023-09,14412,495000000.0
비수도권,2023-10,19886,211000000.0
수도권,2023-10,11395,435000000.0
비수도권,2023-11,17370,204000000.0
수도권,2023-11,9184,425000000.0
비수도권,2023-12,15200,209000000.0
수도권,2023-12,8854,440000000.0
비수도권,2020-01,27049,205000000.0
수도권,2020-01,31610,365000000.0
비수도권,2020-02,32893,198000000.0
수도권,2020-02,49043,340000000.0
비수도권,2020-03,24438,173000000.0
수도권,2020-03,26219,300000000.0
비수도권,2020-04,24211,178000000.0
수도권,2020-04,19732,290000000.0
비수도권,2020-05,32655,197000000.0
수도권,2020-05,27461,320000000.0
비수도권,2020-06,48290,230000000.0
수도권,2020-06,57295,402000000.0
비수도권,2020-07,37825,217000000.0
수도권,2020-07,36299,430000000.0
비수도권,2020-08,28380,204250000.0
수도권,2020-08,21375,398000000.0
비수도권,2020-09,31513,209000000.0
수도권,2020-09,19349,379000000.0
비수도권,2020-10,42068,233000000.0
수도권,2020-10,25015,370000000.0
비수도권,2020-11,57638,237000000.0
수도권,2020-11,31408,420000000.0
비수도권,2020-12,46314,194500000.0
수도권,2020-12,36381,427000000.0
